Latitude,Longitude,Grain yield (kg/ha@12.5%)
-10.4455,36.1714,53.14285714
-3.8497,35.4739,51.20617652
-9.3190,34.6616,50.96
-9.4067,34.8087,50.75268817
-3.4712,37.4188,50.56068013
-7.6076,35.9826,50.21710087
-4.3950,35.5507,49.79369035
-7.6920,35.9871,49.21895114
-7.7658,31.1386,47
-10.4593,36.1088,46.4
-4.2876,35.6761,46.1321331
-4.4672,35.5511,45.71329258
-7.5385,35.7652,45.4462308
-3.7099,37.5876,43.91585531
-10.4055,36.1409,42.5
-7.7271,31.0970,42
-9.3189,34.6613,39.23076923
-7.6069,35.9820,33.59450006
-9.7282,34.7502,33.42222222
-10.4473,36.1789,32.13888889
-4.2917,35.6746,31.33862627
-3.7715,35.4844,31.32488326
-4.2467,35.7034,31.07835936
-10.4107,36.1431,29.71428571
-4.4675,35.5509,28.93861835
-7.6136,35.9809,25.70163727
-10.4109,36.1434,22.85714286
-7.5378,35.7632,18.77489287
-9.3190,34.6610,18.11785714
-4.2567,35.7067,17.62900976
-4.2879,35.6760,15.7859621
-10.4108,36.1433,13.03703704
-10.4591,36.1086,11.75
-3.7714,35.4840,10.34619718
-7.5447,35.7628,4.15635622
-7.5446,35.7621,2.5263015
